REF_DATE,GEO,Trade flow detail,Product,SCALAR_FACTOR,VALUE,STATUS
2007,New Brunswick,International imports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,154.4,
2007,Quebec,Total supply,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,262.2,
2007,Quebec,Total demand,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Quebec,To Newfoundland and Labrador,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Quebec,To Prince Edward Island,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Quebec,To Nova Scotia,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Quebec,To Quebec,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Quebec,To Ontario,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Quebec,To Manitoba,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Quebec,To Saskatchewan,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Quebec,To Alberta,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Quebec,To British Columbia,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Quebec,Interprovincial exports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Quebec,Interprovincial imports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,93.5,
2007,Quebec,International exports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Quebec,International imports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,38.0,
2007,Ontario,Total supply,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,286.6,
2007,Ontario,Total demand,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Ontario,To Nova Scotia,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Ontario,To New Brunswick,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Ontario,To Quebec,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Ontario,To Ontario,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Ontario,To Manitoba,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Ontario,To Saskatchewan,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Ontario,To Alberta,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Ontario,To British Columbia,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Ontario,To Northwest Territories,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Ontario,Interprovincial exports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Ontario,Interprovincial imports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,97.9,
2007,Ontario,International exports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Ontario,International imports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,128.4,
2007,Manitoba,Total supply,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Manitoba,Total demand,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Manitoba,To Newfoundland and Labrador,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Manitoba,To Nova Scotia,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Manitoba,To New Brunswick,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Manitoba,To Quebec,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Manitoba,To Ontario,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Manitoba,To Manitoba,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Manitoba,To Saskatchewan,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Manitoba,To Alberta,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Manitoba,To British Columbia,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Manitoba,Interprovincial exports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Manitoba,Interprovincial imports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,15.8,
2007,Manitoba,International exports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Manitoba,International imports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Saskatchewan,Total supply,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Saskatchewan,Interprovincial imports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Alberta,Total supply,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Alberta,Interprovincial imports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,20.0,
2007,Alberta,International imports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,British Columbia,Total supply,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,468.4,
2007,British Columbia,Total demand,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,916.0,
2007,British Columbia,To Newfoundland and Labrador,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,British Columbia,To Prince Edward Island,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,British Columbia,To Nova Scotia,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,British Columbia,To New Brunswick,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,52.4,
2007,British Columbia,To Quebec,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,28.6,
2007,British Columbia,To Ontario,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,84.7,
2007,British Columbia,To Manitoba,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,12.4,
2007,British Columbia,To Saskatchewan,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,British Columbia,To Alberta,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,12.0,
2007,British Columbia,To British Columbia,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,337.2,
2007,British Columbia,To Yukon,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,British Columbia,To Northwest Territories,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,British Columbia,Interprovincial exports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,191.4,
2007,British Columbia,Interprovincial imports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,1.4,
2007,British Columbia,International exports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,387.4,
2007,British Columbia,International imports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,129.8,
2007,Yukon,Total supply,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Yukon,Interprovincial imports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Northwest Territories,Total supply,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Northwest Territories,Interprovincial imports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Nunavut,Total demand,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,3.5,
2007,Nunavut,To Ontario,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Nunavut,To Manitoba,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,2.5,
2007,Nunavut,To Alberta,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Nunavut,To Northwest Territories,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.0,
2007,Nunavut,To Nunavut,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.8,
2007,Nunavut,Interprovincial exports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,2.5,
2007,Nunavut,International exports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,0.2,
2008,Canada,Total supply and total demand,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,3586.1,
2008,Canada,Interprovincial exports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,468.2,
2008,Canada,Interprovincial imports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,468.2,
2008,Canada,International exports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,1276.8,
2008,Canada,International re-exports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,9.1,
2008,Canada,International imports,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,635.6,
2008,Newfoundland and Labrador,Total supply,"Fish, crustaceans, shellfish and other fishery products [M1140]",millions,427.8,
