REF_DATE,GEO,Output and input components,SCALAR_FACTOR,VALUE,STATUS
2005,British Columbia,Salaries and wages,thousands,41000,
2006,Canada,Gross output,thousands,978686,
2006,Canada,Total operating revenue,thousands,968663,
2006,Canada,Sales of aqua products and services,thousands,949665,
2006,Canada,Gross value added (factor cost),thousands,392787,
2006,Canada,Salaries and wages,thousands,108150,
2006,Newfoundland and Labrador,Gross output,thousands,44986,
2006,Newfoundland and Labrador,Total operating revenue,thousands,44653,
2006,Newfoundland and Labrador,Sales of aqua products and services,thousands,43300,
2006,Newfoundland and Labrador,Gross value added (factor cost),thousands,23012,
2006,Newfoundland and Labrador,Salaries and wages,thousands,4500,
2006,Prince Edward Island,Gross output,thousands,32150,
2006,Prince Edward Island,Total operating revenue,thousands,31640,
2006,Prince Edward Island,Sales of aqua products and services,thousands,31155,
2006,Prince Edward Island,Gross value added (factor cost),thousands,29065,
2006,Prince Edward Island,Salaries and wages,thousands,11500,
2006,Nova Scotia,Gross output,thousands,,x
2006,Nova Scotia,Total operating revenue,thousands,,x
2006,Nova Scotia,Sales of aqua products and services,thousands,,x
2006,Nova Scotia,Gross value added (factor cost),thousands,,x
2006,Nova Scotia,Salaries and wages,thousands,,x
2006,New Brunswick,Gross output,thousands,,x
2006,New Brunswick,Total operating revenue,thousands,,x
2006,New Brunswick,Sales of aqua products and services,thousands,,x
2006,New Brunswick,Gross value added (factor cost),thousands,,x
2006,New Brunswick,Salaries and wages,thousands,,x
2006,Quebec,Gross output,thousands,13875,
2006,Quebec,Total operating revenue,thousands,13865,
2006,Quebec,Sales of aqua products and services,thousands,13300,
2006,Quebec,Gross value added (factor cost),thousands,8675,
2006,Quebec,Salaries and wages,thousands,2750,
2006,Ontario,Gross output,thousands,17295,
2006,Ontario,Total operating revenue,thousands,17785,
2006,Ontario,Sales of aqua products and services,thousands,16530,
2006,Ontario,Gross value added (factor cost),thousands,7405,
2006,Ontario,Salaries and wages,thousands,3500,
2006,Prairie provinces,Gross output,thousands,0,
2006,Prairie provinces,Total operating revenue,thousands,0,
2006,Prairie provinces,Sales of aqua products and services,thousands,0,
2006,Prairie provinces,Gross value added (factor cost),thousands,0,
2006,Prairie provinces,Salaries and wages,thousands,0,
2006,British Columbia,Gross output,thousands,461500,
2006,British Columbia,Total operating revenue,thousands,460340,
2006,British Columbia,Sales of aqua products and services,thousands,455980,
2006,British Columbia,Gross value added (factor cost),thousands,162050,
2006,British Columbia,Salaries and wages,thousands,48000,
2007,Canada,Gross output,thousands,845433,
2007,Canada,Total operating revenue,thousands,810061,
2007,Canada,Sales of aqua products and services,thousands,797626,
2007,Canada,Gross value added (factor cost),thousands,264934,
2007,Canada,Salaries and wages,thousands,101300,
2007,Newfoundland and Labrador,Gross output,thousands,44437,
2007,Newfoundland and Labrador,Total operating revenue,thousands,34000,
2007,Newfoundland and Labrador,Sales of aqua products and services,thousands,33840,
2007,Newfoundland and Labrador,Gross value added (factor cost),thousands,13668,
2007,Newfoundland and Labrador,Salaries and wages,thousands,5000,
2007,Prince Edward Island,Gross output,thousands,33111,
2007,Prince Edward Island,Total operating revenue,thousands,28791,
2007,Prince Edward Island,Sales of aqua products and services,thousands,28466,
2007,Prince Edward Island,Gross value added (factor cost),thousands,25001,
2007,Prince Edward Island,Salaries and wages,thousands,10200,
2007,Nova Scotia,Gross output,thousands,47940,
2007,Nova Scotia,Total operating revenue,thousands,41740,
2007,Nova Scotia,Sales of aqua products and services,thousands,41200,
2007,Nova Scotia,Gross value added (factor cost),thousands,33890,
2007,Nova Scotia,Salaries and wages,thousands,6000,
2007,New Brunswick,Gross output,thousands,147320,
2007,New Brunswick,Total operating revenue,thousands,142320,
2007,New Brunswick,Sales of aqua products and services,thousands,134520,
2007,New Brunswick,Gross value added (factor cost),thousands,17120,
2007,New Brunswick,Salaries and wages,thousands,22000,
2007,Quebec,Gross output,thousands,13730,
2007,Quebec,Total operating revenue,thousands,14300,
2007,Quebec,Sales of aqua products and services,thousands,13600,
2007,Quebec,Gross value added (factor cost),thousands,7415,
2007,Quebec,Salaries and wages,thousands,2100,
2007,Ontario,Gross output,thousands,16975,
2007,Ontario,Total operating revenue,thousands,17690,
2007,Ontario,Sales of aqua products and services,thousands,17050,
2007,Ontario,Gross value added (factor cost),thousands,8280,
2007,Ontario,Salaries and wages,thousands,3000,
2007,Prairie provinces,Gross output,thousands,0,
2007,Prairie provinces,Total operating revenue,thousands,0,
2007,Prairie provinces,Sales of aqua products and services,thousands,0,
2007,Prairie provinces,Gross value added (factor cost),thousands,0,
2007,Prairie provinces,Salaries and wages,thousands,0,
2007,British Columbia,Gross output,thousands,541920,
2007,British Columbia,Total operating revenue,thousands,531220,
2007,British Columbia,Sales of aqua products and services,thousands,528950,
2007,British Columbia,Gross value added (factor cost),thousands,159560,
2007,British Columbia,Salaries and wages,thousands,53000,
2008,Canada,Gross output,thousands,763677,
2008,Canada,Total operating revenue,thousands,752097,
2008,Canada,Sales of aqua products and services,thousands,737397,
2008,Canada,Gross value added (factor cost),thousands,216989,
2008,Canada,Salaries and wages,thousands,106000,
2008,Newfoundland and Labrador,Gross output,thousands,66565,
2008,Newfoundland and Labrador,Total operating revenue,thousands,54565,
2008,Newfoundland and Labrador,Sales of aqua products and services,thousands,46415,
2008,Newfoundland and Labrador,Gross value added (factor cost),thousands,24875,
2008,Newfoundland and Labrador,Salaries and wages,thousands,8200,
2008,Prince Edward Island,Gross output,thousands,26867,
2008,Prince Edward Island,Total operating revenue,thousands,28137,
2008,Prince Edward Island,Sales of aqua products and services,thousands,27997,
2008,Prince Edward Island,Gross value added (factor cost),thousands,18062,
2008,Prince Edward Island,Salaries and wages,thousands,8700,
2008,Nova Scotia,Gross output,thousands,47095,
2008,Nova Scotia,Total operating revenue,thousands,44495,
2008,Nova Scotia,Sales of aqua products and services,thousands,43405,
2008,Nova Scotia,Gross value added (factor cost),thousands,9705,
2008,Nova Scotia,Salaries and wages,thousands,5200,
2008,New Brunswick,Gross output,thousands,131295,
2008,New Brunswick,Total operating revenue,thousands,111295,
2008,New Brunswick,Sales of aqua products and services,thousands,108905,
2008,New Brunswick,Gross value added (factor cost),thousands,28002,
2008,New Brunswick,Salaries and wages,thousands,20000,
2008,Quebec,Gross output,thousands,12720,
